DATA;Inflação - IPC-FESO - (número índice);Inflação - IPC/alimentos-FESO - (número índice);Inflação - IPC/bebidas-FESO - (número índice);Inflação - IPC/CB-FESO - (R$);Inflação - IPC/CB-FESO - (número índice);Arroz Branco Tipo 1 - 5 KG (R$);Feijão Preto - 1 KG (R$);Feijão Carioquinha - 1 KG (R$);Batata lavada - KG (R$);Banana Prata - KG (R$);Tomate - KG (R$);Farinha de Mandioca - 1 KG (R$);Farinha de Trigo - 1 KG (R$);Fubá - 1 KG (R$);Massa Padre Nosso - 500 GR (R$);Macarrão Instântaneo - UNIDADE (R$);Espagueti - 500 GR (R$);Pão de Forma - PACOTE (R$);Pão Bisnaga - PACOTE (R$);Biscoito Salgado - PACOTE (R$);Biscoito Recheado - PACOTE (R$);Leite - UNIDADE (R$);Leite Condensado - LATA (R$);Queijo Mussarela - KG (R$);Queijo Ralado - PCT 100 GR (R$);Manteiga - 200 GR (R$);Iogurte - BANDEJA (R$);Açúcar Refinado - 1 KG (R$);Açúcar Cristal - 1 KG (R$);Pêssego em Calda - 450 GRAMAS (R$);Goiabada - pote (R$);Geléia de Mocotó - CX (R$);Achocolatado - 400 GR (R$);Chã de Dentro - KG (R$);Lingüiça Calabresa - KG (R$);Lingüiça Mista - KG (R$);Presunto - KG (R$);Mortadela - KG (R$);Frango Inteiro - KG (R$);Peito de Frango - KG (R$);Ovos Grandes Brancos - DÚZIA (R$);Sal - 1 KG (R$);Alho - KG (R$);Cebola - KG (R$);Caldo de Galinha - 126 gr. (R$);Maionese - vidro 250 GR (R$);Extrato de Tomate - lata 340 gr (R$);Pura Polpa - CAIXA 520 gr (R$);Molho Shoyu - VIDRO PEQ. (150 ml) (R$);Milho Verde - LATA (R$);Salsicha - LATA (R$);Refrigerante de Cola - 2 LITROS (R$);Refrigerante de Guaraná - 2 LITROS (R$);Refrigerante de Laranja - 2 LITROS (R$);Suco de Caju - 500 ML (R$);Xarope de Guaraná - 1 LITRO (R$);Chá Mate - CX 100G (R$);Café - 500 GR (R$);Café - 500 GR (R$);Cerveja Clara - CAIXA C/12 (R$);Vinho Tinto - 750 ML (R$);Óleo de Soja - PET 900 ml (R$);Azeite - LATA (R$);Margarina Vegetal - 250 GR (R$);Sabão Tablete - PCT. C/ 5 UNID. (R$);Sabão em Pó - CX 500G (R$);Amaciante de Roupa - 2 LITROS (R$);Detergente Líquido (Neutro) - UNIDADE (R$);Desinfetante Multi Uso -  500 ML (R$);Esponja de Aço - PACOTE (R$);Shampoo - 350 ML (R$);Condicionador - VD (GRANDE) (R$);Sabonete - UNIDADE (R$);Desodorante - Roll On 50 g (R$);Papel Higiênico - PCT. C/ 4 UNID. (R$);Creme Dental - 90 GR (R$);Pão Francês - 1 Kg (R$)
01/2007;99,49407791;100,0564189;97,85234803;;;9,052;3,465;7,14;2,4825;3,73;4,71;1,825714286;1,61875;1,035714286;11,1475;3,3375;2,235;2,08;5,3375;2,735;3,095;16,56;1,73625;4,4425;3,731428571;2,557142857;2,405714286;8,434285714;3,486666667;3,716666667;2,643333333;2,946666667;3,3025;15,8375;6,045;6,003333333;5,079375;1,511875;8,205;4,1625;1,99375;0,7075;1,3471875;0,1909375;3,915;2,575;4,782;7,957142857;3,28;2,4775;1,45;8,72625;4,74;2,60875;1,9475;2,74125;1,08625;4,83;4,22125;14,318;11,38833333;8,96;10,47714286;2,54;6,9025;3,5575;3,176666667;2,0325;2,16375;1,95375;4,01125;4,08;5,67;2,725;7,25;4,935;
02/2007;100,5555609;98,60234751;95,06842409;;;8,935714286;3,3;6,613333333;3,03;2,9575;5,9175;1,822857143;1,69;1,04875;4,53;3,20625;1,584285714;2,05;5,36;2,98;3,0375;16,85142857;1,784285714;3,279375;4,651428571;2,5625;2,41875;8,3925;4,168571429;3,62;2,58;2,88;3,28875;14,2575;6,42125;7,761428571;5,520714286;1,4578125;9,56625;4,32;2,28875;0,74125;1,6003125;0,2775;4,085714286;3,1;5,325;7,916666667;3,16;2,3175;0,967142857;8,48625;4,9625;2,668571429;1,961428571;2,18;1,7;5,13;4,67;11,24;11,99833333;9,765714286;11,13571429;2,66;7,95;6,17875;3,628333333;2,14;1,975714286;1,95875;4,82;3,98875;5,05;5,245714286;6,68625;5,22;
03/2007;101,6863303;101,7920312;100,2707124;;;8,633333333;3,1575;6,053333333;4,881428571;3,3;6,7725;1,801666667;1,6825;1,0625;2,845;3,15625;1,756666667;2,232857143;5,6775;3,0825;3,1325;17,62;1,97875;4,693125;5,728;2,80125;2,1475;8,0325;3,766666667;3,62;2,95;2,88;3,437142857;15,3525;6,38375;6,166;5,246428571;1,6909375;9,7125;4,1775;2,47875;0,744285714;1,5665625;0,3546875;2,792;3,1;5,07;8,6375;4,45;2,296;2,852;9,017142857;4,9125;2,67625;2,868333333;2,38;2,282857143;5,197142857;4,785714286;11,72666667;12,16;8,988571429;9,938;4,174285714;6,964;5,48125;4,035;2,048571429;2,2225;1,8975;4,01875;4,256666667;5,152;2,9575;5,56125;5,07;
04/2007;99,84727995;99,14973848;100,3493811;;;8,83125;3,13775;5,41;4,221428571;3,255;4,1575;1,865;1,565;0,99;2,385;3,2875;1,54;2,284285714;5,665714286;2,76;3,1275;19,32;1,97;5,190625;5,82;2,546666667;2,25;8,082857143;3,95;3,621014493;1,69;2,923359684;3,3725;14,7025;5,985;5,256666667;5,090714286;1,5490625;8,505;4,1375;2,385;0,758571429;1,7725;0,374375;4,033333333;3,181287408;4,71;8,483333333;6,08;2,276;2,2;8,9625;5,065;2,54875;3,233333333;2,64875;1,46375;4,6325;4,716666667;11,50857143;13,045;8,946666667;10,535;3,78;7,72;3,568333333;3,765;2,1;2,18;1,9425;4,167142857;3,89;4,585;2,6;6,70875;5,58;
05/2007;100,1673018;98,73893126;97,94947052;;;8,71;2,94;4,233333333;4,85;2,985;2,4425;1,695714286;1,62125;1,0775;1,925;3,36875;1,7175;2,293333333;5,863333333;2,65;3,2;21,68;2,035;5,756875;5,033333333;2,366;2,515714286;8,06;2,94;3,622028986;3,07;2,966719368;3,33875;15,28;6,0475;5,842;4,684166667;1,6409375;7,26375;4,37375;2,3125;0,782857143;1,5934375;0,51625;3,694285714;3,262574816;5,01;8,483333333;5,22;2,36;2,276666667;9,0675;5,26;2,79;2,0775;2,878571429;1,305;5,457142857;4,542857143;11,29047619;11,83;9,184;10,2775;3,065;7,24;4,21;4,502;2,06;2,7925;1,8;4,264285714;3,596666667;4,69;4,005;7,675;5,55;
06/2007;104,4273602;104,8007316;98,58746062;;;9,05375;3,44;5,66;4,92;2,397142857;2,7625;1,754285714;1,65;1,075;1,465;3,375;1,67;2,421666667;6,086666667;2,61;3,2075;26,56;1,984285714;6,69625;4,046666667;2,495;2,077142857;7,9875;5,005;3,623043478;3,09;3,010079051;3,4325;15,005;6,061428571;6,065;5,15625;1,630416667;8,4675;4,36125;2,6;0,764285714;1,585625;0,5003125;3,356666667;3,343862225;5,046;9,041666667;5,16;2,476;2,89;8,865;4,83;2,8125;2,004285714;2,6925;1,45375;5,536666667;4,646666667;11,07238095;12,66166667;9,1;11,78333333;3,98;7,62;5,512857143;4,19;2,1;2,345714286;1,926666667;4,401428571;4,326666667;5,226666667;2,675;5,67375;5,361428571;
07/2007;105,8090531;107,5570427;94,24038412;;;8,8625;3,4925;5,94;4,665;2,6675;2,45;1,741428571;1,7875;1,151428571;1,44;3,26875;1,72;2,502;6,306666667;2,5175;2,915;31,11;2,34;7,426875;5,893333333;2,856666667;2,848571429;7,885714286;4,573333333;3,624057971;1,67;3,053438735;3,42;16,4275;6,405;5,16;4,79875;1,497857143;8,865;4,18125;2,6025;0,787142857;1,4684375;0,343125;3,3;3,425149633;5,265;8,483333333;5,02;2,326666667;1,89;8,43;4,875;2,758571429;2;2,588571429;1,0775;5,588;4,184;10,85428571;11,995;9,526666667;12,42;2,68;7,791428571;5,281428571;4,2525;2,162857143;2,24;1,794285714;4,39875;3,59;4,888333333;5,65;5,237142857;5,35125;
08/2007;109,4886297;113,3347056;98,99589293;;;8,414285714;3,848571429;6,38;4,17;3,75;2,595;1,693333333;1,88125;1,19125;2,79;3,33125;1,69;2,446666667;5,873333333;2,59;2,965;29,50285714;2,69375;7,90125;7,26;2,476;2,931666667;7,011428571;4,546666667;3,625072464;4,49;3,096798419;3,38;18,13;6,3925;5,486666667;4,949285714;1,698214286;9,4125;4,2525;2,52125;0,766666667;1,3671875;0,45125;4,072;3,506437041;7,7925;8,75;4,126666667;2,226666667;2,94;8,475;5,168571429;2,774285714;2,21;2,5775;1,06;5,382857143;4,643333333;10,63619048;13,4;9,8;11,36714286;2,6225;7,826666667;3,761428571;4,74;2,016;2,325;1,9425;4,6775;3,861666667;4,7075;5,49;5,41;4,89;
09/2007;107,0196537;110,0682584;98,1546797;;;9,15875;4,175;6,8;3,465;3,805;3,43;1,786666667;1,89625;1,23;1,45;3,46875;2,035;2,376666667;5,991428571;2,7225;3,2175;23,52;2,883333333;7,484375;6,78;2,61;2,858571429;6,908571429;4,38;3,626086957;4,409047619;3,140158103;3,2525;17,705;6,39;5,7125;4,527142857;1,6703125;9,11625;4,19125;2,5875;0,798571429;1,520625;0,355625;4,268571429;3,587724449;3,45;7,35;10,98;2,036666667;2,29;9,425;4,815;2,83625;1,825;2,43;1,13375;5,387142857;4,687142857;10,41809524;12,764;10,86666667;10,62125;2,735;7,375;3,74;4,19;2,224;2,19375;2,14125;4,33375;4,39;3,85;5,19;5,19;5,3625;
10/2007;108,6805477;110,7452197;100,3071758;;;9,908;4,415;7,3;4,665;3,28;2,9625;1,897142857;1,8875;1,18;1,45;3,492857143;1,77;2,448333333;6,108;2,81;3,355;19,16571429;3,104285714;6,495;6,26;2,668571429;2,712857143;6,6;4,1;3,627101449;4,328095238;3,183517787;3,12125;18,735;6,6625;5,705;5,052857143;1,899166667;9,0675;4,13375;2,12875;0,934285714;1,3409375;0,304375;3,5825;3,669011858;6,705;8,6;9,256666667;2,236;2,59;9,0225;5,005;2,774285714;2,48;2,615;1,365;5,432;4,611666667;10,2;13,215;9,848;12,355;3,791428571;7,934285714;4,031428571;4,655;2,112;2,25875;1,82125;4,171428571;4,006666667;4,802;3,458;6,24;5,5125;
